composerName,workTitle,quantile,dateCount
"Bach,  Johann  Sebastian","CANTATA NO.  62: CHORALE,"" NUN KOMM' DER HEIDEN HEILAND""  (ARR. Respighi)",3,2
"Bach,  Johann  Sebastian","CANTATA NO.  62: CHORALE,"" NUN KOMM' DER HEIDEN HEILAND""  (ARR. Stokowski)",3,1
"Bach,  Johann  Sebastian",CANTATA NO.  78,3,1
"Bach,  Johann  Sebastian","CANTATA NO.  80: ""EIN FESTE BURG IST UNSER GOTT""  (ARR. Thomas)",3,1
"Bach,  Johann  Sebastian","CANTATA NO.  80: CHORALE-PRELUDE, ""EIN FESTE BURG IST UNSER GOTT""  (ARR. Damrosch)",3,2
"Bach,  Johann  Sebastian","CANTATA NO. 140:  CHORALE,  ""WACHET AUF, RUFT UNS DIE STIMME"" (ARR. Respighi)",3,3
"Bach,  Johann  Sebastian","CANTATA NO. 140:  CHORALE,  ""WACHET AUF, RUFT UNS DIE STIMME"" (ARR. Stokowski)",3,4
"Bach,  Johann  Sebastian","CANTATA NO. 140:  CHORALE, ""WACHET AUF, RUFT UNS DIE STIMME""  (ARR. Ormandy)",3,2
"Bach,  Johann  Sebastian","CANTATA NO. 140: ""WACHET AUF RUFT UNS DIE STIMME""",3,4
"Bach,  Johann  Sebastian",CANTATA NO. 147,3,2
"Bach,  Johann  Sebastian","CANTATA NO. 156, SINFONIA (TRANS. ORCHESTRA) (ARR. Stokowski)",2,5
"Bach,  Johann  Sebastian",CANTATA NO. 161,3,1
"Bach,  Johann  Sebastian",CANTATA NO. 174,3,2
"Bach,  Johann  Sebastian",CANTATA NO. 198,3,1
"Bach,  Johann  Sebastian",CANTATA NO. 202,3,4
"Bach,  Johann  Sebastian","CANTATA NO. 208:  CHORALE:  ""SCHAFE KONNEN SICHER WEIDEN"" (SHEEP MAY SAFELY GRAZE) (ARR. Barbirolli)",3,2
"Bach,  Johann  Sebastian","CANTATA NO. 208:  CHORALE:  ""SCHAFE KONNEN SICHER WEIDEN"" (SHEEP MAY SAFELY GRAZE) (ARR. Stokowski)",3,3
"Bach,  Johann  Sebastian",CANTATA NO. 209,3,2
"Bach,  Johann  Sebastian","CANTATA NO. 38: CHORALE-PRELUDE, ""AUS TIEFER NOT SCHREI ICH ZU DIR""   (ARR. Wheaton)",3,2
"Bach,  Johann  Sebastian",CHORALE AND FUGUE (UNSPECIFIED) (ARR. Abert),3,1
"Bach,  Johann  Sebastian",CHORALE FOR BRASS (UNSPECIFIED) (ARR. Abert),2,5
"Bach,  Johann  Sebastian",CHORALE FOR ORCHESTRA (UNSPECIFIED) (ARR. Abert),3,1
"Bach,  Johann  Sebastian","CHORALE PRELUDE:  SCHMUCKE DICH, O LIEBE SEELE, BWV 654 (ORCH.) (ARR. Schoenberg)",2,14
"Bach,  Johann  Sebastian","CHORALE PRELUDE: KOMM, GOTT SCHÖPFER, HEILIGER GEIST (ORCH.), BWV 631 (ARR. Schoenberg)",2,15
"Bach,  Johann  Sebastian","CHORALE, ""DAS ALTE JAHR VERGANGEN IST"", BWV 614 (ARR. Schenkman)",3,1
"Bach,  Johann  Sebastian","CHORALE, ""ERBARM' DICH MEIN, O HERRE GOTT"", BWV 305 (ARR. Wheaton)",3,2
"Bach,  Johann  Sebastian","CHORALE, ""HERZLICH THUT MICH VERLANGEN"", BWV 727 (ARR. Cailliet)",3,2
"Bach,  Johann  Sebastian","CHORALE, ""ICH RUF' ZU DIR"", BWV 639 (ARR. Stokowski)",3,3
"Bach,  Johann  Sebastian","CHORALE, ""IN DIR IST FREUDE"", BWV 615  (ARR. Schenkman)",3,1
"Bach,  Johann  Sebastian","CHORALE, ""KOMM, SUSSER TOD, KOMM, SEL'GE RUH'!"", BWV 478 (ARR. Stokowski)",2,11
