composerName,workTitle,composer_work,dateCount
"Mendelssohn,  Felix","HEBRIDES (FINGAL'S CAVE) OVERTURE, OP.26","Mendelssohn,  Felix_HEBRIDES (FINGAL'S CAVE) OVERTURE, OP.26",90
"Mendelssohn,  Felix","INFELICE, OP.94","Mendelssohn,  Felix_INFELICE, OP.94",9
"Mendelssohn,  Felix","LIEDER OHNE WORTE, BOOK VI, OP. 67 (PIANO)","Mendelssohn,  Felix_LIEDER OHNE WORTE, BOOK VI, OP. 67 (PIANO)",7
"Mendelssohn,  Felix",MELUSINE: OVERTURE,"Mendelssohn,  Felix_MELUSINE: OVERTURE",18
"Mendelssohn,  Felix","MIDSUMMER NIGHT'S DREAM, OP. 61","Mendelssohn,  Felix_MIDSUMMER NIGHT'S DREAM, OP. 61",163
"Mendelssohn,  Felix","OCTET, OP.20: SCHERZO (ARR. ORCH.)","Mendelssohn,  Felix_OCTET, OP.20: SCHERZO (ARR. ORCH.)",20
"Mendelssohn,  Felix","OCTET, STRINGS, E FLAT MAJOR, OP.20","Mendelssohn,  Felix_OCTET, STRINGS, E FLAT MAJOR, OP.20",9
"Mendelssohn,  Felix","RUY BLAS, OP.95: OVERTURE","Mendelssohn,  Felix_RUY BLAS, OP.95: OVERTURE",59
"Mendelssohn,  Felix","SINFONIA NO. 12, G MINOR (FUGA)","Mendelssohn,  Felix_SINFONIA NO. 12, G MINOR (FUGA)",5
"Mendelssohn,  Felix","ST. PAUL, OP. 36","Mendelssohn,  Felix_ST. PAUL, OP. 36",6
"Mendelssohn,  Felix","SYMPHONY NO. 3, A MINOR, OP.56 (SCOTTISH)","Mendelssohn,  Felix_SYMPHONY NO. 3, A MINOR, OP.56 (SCOTTISH)",81
"Mendelssohn,  Felix","SYMPHONY NO. 4, A MAJOR, OP. 90 (ITALIAN)","Mendelssohn,  Felix_SYMPHONY NO. 4, A MAJOR, OP. 90 (ITALIAN)",119
"Mendelssohn,  Felix","SYMPHONY NO. 5, D MAJOR, OP.107 (REFORMATION)","Mendelssohn,  Felix_SYMPHONY NO. 5, D MAJOR, OP.107 (REFORMATION)",46
"Mennin,  Peter",CONCERTATO (MOBY DICK),"Mennin,  Peter_CONCERTATO (MOBY DICK)",5
"Mennin,  Peter",SYMPHONY NO. 3,"Mennin,  Peter_SYMPHONY NO. 3",5
"Menotti,  Gian  Carlo",AMELIA GOES TO THE BALL,"Menotti,  Gian  Carlo_AMELIA GOES TO THE BALL",9
"Menotti,  Gian  Carlo","CONCERTO, VIOLIN","Menotti,  Gian  Carlo_CONCERTO, VIOLIN",6
"Menotti,  Gian  Carlo","CONSUL, THE","Menotti,  Gian  Carlo_CONSUL, THE",5
"Menotti,  Gian  Carlo","OLD MAID AND THE THIEF, THE","Menotti,  Gian  Carlo_OLD MAID AND THE THIEF, THE",6
"Messiaen,  Olivier",ET EXSPECTO RESURRECTIONEM MORTUORUM,"Messiaen,  Olivier_ET EXSPECTO RESURRECTIONEM MORTUORUM",15
"Messiaen,  Olivier","OFFRANDES OUBLIÉES, LES","Messiaen,  Olivier_OFFRANDES OUBLIÉES, LES",16
"Messiaen,  Olivier",OISEAUX EXOTIQUES,"Messiaen,  Olivier_OISEAUX EXOTIQUES",10
"Messiaen,  Olivier",TROIS PETITES LITURGIES DE LA PRESENCE DIVINE,"Messiaen,  Olivier_TROIS PETITES LITURGIES DE LA PRESENCE DIVINE",6
"Messiaen,  Olivier",TURANGALILA-SYMPHONIE,"Messiaen,  Olivier_TURANGALILA-SYMPHONIE",7
"Meyerbeer,  Giacomo","AFRICAINE, L'","Meyerbeer,  Giacomo_AFRICAINE, L'",12
"Meyerbeer,  Giacomo",ROBERT LE DIABLE,"Meyerbeer,  Giacomo_ROBERT LE DIABLE",5
"Milhaud,  Darius","BOEUF SUR LE TOIT, OP 58","Milhaud,  Darius_BOEUF SUR LE TOIT, OP 58",8
"Milhaud,  Darius","CARNAVAL D'AIX, LE, PIANO, OP. 83B","Milhaud,  Darius_CARNAVAL D'AIX, LE, PIANO, OP. 83B",5
"Milhaud,  Darius","CHOEPHORES, LES (THE LIBATION BEARERS)","Milhaud,  Darius_CHOEPHORES, LES (THE LIBATION BEARERS)",6
"Milhaud,  Darius","CONCERTO, PIANO (TWO PIANOS)","Milhaud,  Darius_CONCERTO, PIANO (TWO PIANOS)",5
"Milhaud,  Darius","CREATION DU MONDE, LA","Milhaud,  Darius_CREATION DU MONDE, LA",8
"Milhaud,  Darius","SUITE PROVENÇALE, OP. 152B","Milhaud,  Darius_SUITE PROVENÇALE, OP. 152B",11
"Millar,  Jordan",BOOGIE DOWN UPTOWN,"Millar,  Jordan_BOOGIE DOWN UPTOWN",6
"Mitropoulos,  Dimitri",CONCERTO GROSSO FOR ORCHESTRA,"Mitropoulos,  Dimitri_CONCERTO GROSSO FOR ORCHESTRA",5
"Miyagi,  Michio",SEA OF THE SPRING,"Miyagi,  Michio_SEA OF THE SPRING",7
"Moniuszko,  Stanislaw",HALKA,"Moniuszko,  Stanislaw_HALKA",5
"Monteverdi,  Claudio",BALLO DELLE INGRATE (MASCHERATA DELL'INGRATE),"Monteverdi,  Claudio_BALLO DELLE INGRATE (MASCHERATA DELL'INGRATE)",6
"Monteverdi,  Claudio",MAGNIFICAT (ARR. Ghedini),"Monteverdi,  Claudio_MAGNIFICAT (ARR. Ghedini)",7
"Montsalvatge,  Xavier",CINCO CANCIONES NEGRAS,"Montsalvatge,  Xavier_CINCO CANCIONES NEGRAS",5
"Moszkowski,  Moritz","BOABDIL, DER LETZTE MAURENKÖNIG, OP. 49","Moszkowski,  Moritz_BOABDIL, DER LETZTE MAURENKÖNIG, OP. 49",5
"Mozart,  Leopold",TOY SYMPHONY (FORMERLY ATT. HAYDN),"Mozart,  Leopold_TOY SYMPHONY (FORMERLY ATT. HAYDN)",6
"Mozart,  Wolfgang  Amadeus","ABDUCTION FROM THE SERAGLIO, THE: OVERTURE (ARR. Busoni)","Mozart,  Wolfgang  Amadeus_ABDUCTION FROM THE SERAGLIO, THE: OVERTURE (ARR. Busoni)",18
"Mozart,  Wolfgang  Amadeus","ABDUCTION FROM THE SERAGLIO, THE: OVERTURE, K.384 (ARR. Unspecified)","Mozart,  Wolfgang  Amadeus_ABDUCTION FROM THE SERAGLIO, THE: OVERTURE, K.384 (ARR. Unspecified)",16
"Mozart,  Wolfgang  Amadeus","ABDUCTION FROM THE SERAGLIO,THE, K.384","Mozart,  Wolfgang  Amadeus_ABDUCTION FROM THE SERAGLIO,THE, K.384",20
"Mozart,  Wolfgang  Amadeus","ADAGIO AND FUGUE, STRING QUARTET, C MIN, K.546 (QUART./STR. ORCH.)","Mozart,  Wolfgang  Amadeus_ADAGIO AND FUGUE, STRING QUARTET, C MIN, K.546 (QUART./STR. ORCH.)",20
"Mozart,  Wolfgang  Amadeus","ADAGIO, VIOLIN, E MAJOR, K.261","Mozart,  Wolfgang  Amadeus_ADAGIO, VIOLIN, E MAJOR, K.261",11
"Mozart,  Wolfgang  Amadeus","AH, LO PREVIDI, K.272","Mozart,  Wolfgang  Amadeus_AH, LO PREVIDI, K.272",6
"Mozart,  Wolfgang  Amadeus","AMADEUS, FILM WITH MUSIC","Mozart,  Wolfgang  Amadeus_AMADEUS, FILM WITH MUSIC",5
"Mozart,  Wolfgang  Amadeus","ANDANTE, FLUTE, C MAJOR, K.285E (OLD K.315)","Mozart,  Wolfgang  Amadeus_ANDANTE, FLUTE, C MAJOR, K.285E (OLD K.315)",6
"Mozart,  Wolfgang  Amadeus","AVE VERUM CORPUS, K. 618","Mozart,  Wolfgang  Amadeus_AVE VERUM CORPUS, K. 618",8
"Mozart,  Wolfgang  Amadeus","CH'IO MI SCORDI DI TE, K.505","Mozart,  Wolfgang  Amadeus_CH'IO MI SCORDI DI TE, K.505",14
"Mozart,  Wolfgang  Amadeus","CLEMENZA DI TITO, LA, K.621","Mozart,  Wolfgang  Amadeus_CLEMENZA DI TITO, LA, K.621",29
"Mozart,  Wolfgang  Amadeus","CONCERTO, BASSOON, B-FLAT MAJOR, K.186E (OLD K.191)","Mozart,  Wolfgang  Amadeus_CONCERTO, BASSOON, B-FLAT MAJOR, K.186E (OLD K.191)",22
"Mozart,  Wolfgang  Amadeus","CONCERTO, CLARINET, A MAJOR, K.622","Mozart,  Wolfgang  Amadeus_CONCERTO, CLARINET, A MAJOR, K.622",48
"Mozart,  Wolfgang  Amadeus","CONCERTO, FLUTE AND HARP IN C, K.297C (OLD K.299)","Mozart,  Wolfgang  Amadeus_CONCERTO, FLUTE AND HARP IN C, K.297C (OLD K.299)",24
"Mozart,  Wolfgang  Amadeus","CONCERTO, FLUTE NO. 1, G MAJOR, K.285C (OLD K.313)","Mozart,  Wolfgang  Amadeus_CONCERTO, FLUTE NO. 1, G MAJOR, K.285C (OLD K.313)",18
"Mozart,  Wolfgang  Amadeus","CONCERTO, FLUTE NO. 2, D MAJOR, K.285D (OLD K.314)","Mozart,  Wolfgang  Amadeus_CONCERTO, FLUTE NO. 2, D MAJOR, K.285D (OLD K.314)",10
"Mozart,  Wolfgang  Amadeus","CONCERTO, HORN NO. 2, E-FLAT MAJOR, K.417","Mozart,  Wolfgang  Amadeus_CONCERTO, HORN NO. 2, E-FLAT MAJOR, K.417",21
"Mozart,  Wolfgang  Amadeus","CONCERTO, HORN NO. 3, E-FLAT MAJOR, K.447","Mozart,  Wolfgang  Amadeus_CONCERTO, HORN NO. 3, E-FLAT MAJOR, K.447",13
"Mozart,  Wolfgang  Amadeus","CONCERTO, HORN NO. 4, E-FLAT MAJOR, K.495","Mozart,  Wolfgang  Amadeus_CONCERTO, HORN NO. 4, E-FLAT MAJOR, K.495",10
"Mozart,  Wolfgang  Amadeus","CONCERTO, OBOE, C MAJOR, K.285D (OLD K.314)","Mozart,  Wolfgang  Amadeus_CONCERTO, OBOE, C MAJOR, K.285D (OLD K.314)",6
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 09, E-FLAT MAJOR, K.271 (JEUNEHOMME)","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 09, E-FLAT MAJOR, K.271 (JEUNEHOMME)",44
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 10, E-FLAT MAJOR, K.316A (OLD K.365) (2 PIANOS)","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 10, E-FLAT MAJOR, K.316A (OLD K.365) (2 PIANOS)",33
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 11, F MAJOR, K.387A (OLD K.413)","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 11, F MAJOR, K.387A (OLD K.413)",5
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 12, A MAJOR, K.385P (OLD K.414)","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 12, A MAJOR, K.385P (OLD K.414)",11
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 14, E-FLAT MAJOR, K.449","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 14, E-FLAT MAJOR, K.449",11
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 15, B-FLAT MAJOR, K.450","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 15, B-FLAT MAJOR, K.450",13
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 16, D MAJOR, K.451","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 16, D MAJOR, K.451",6
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 17, G MAJOR, K.453","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 17, G MAJOR, K.453",63
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 18, B-FLAT MAJOR, K.456","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 18, B-FLAT MAJOR, K.456",11
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 19, F MAJOR, K.459","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 19, F MAJOR, K.459",14
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 20, D MINOR, K.466","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 20, D MINOR, K.466",105
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 21, C MAJOR, K.467","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 21, C MAJOR, K.467",54
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 22, E-FLAT MAJOR, K.482","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 22, E-FLAT MAJOR, K.482",54
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 23, A MAJOR, K.488","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 23, A MAJOR, K.488",77
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 24, C MINOR, K.491","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 24, C MINOR, K.491",69
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 25, C MAJOR, K.503","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 25, C MAJOR, K.503",53
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 26, D MAJOR, K.537 ""CORONATION""","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 26, D MAJOR, K.537 ""CORONATION""",27
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANO NO. 27, B-FLAT MAJOR, K.595","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANO NO. 27, B-FLAT MAJOR, K.595",54
"Mozart,  Wolfgang  Amadeus","CONCERTO, PIANOS (3) NO. 07, F MAJOR, K.242 ""LODRON""","Mozart,  Wolfgang  Amadeus_CONCERTO, PIANOS (3) NO. 07, F MAJOR, K.242 ""LODRON""",9
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 1, B-FLAT MAJOR, K.207","Mozart,  Wolfgang  Amadeus_CONCERTO, VIOLIN NO. 1, B-FLAT MAJOR, K.207",8
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 2, D MAJOR, K.211","Mozart,  Wolfgang  Amadeus_CONCERTO, VIOLIN NO. 2, D MAJOR, K.211",5
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 3, G MAJOR, K.216","Mozart,  Wolfgang  Amadeus_CONCERTO, VIOLIN NO. 3, G MAJOR, K.216",71
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 4, D MAJOR, K.218","Mozart,  Wolfgang  Amadeus_CONCERTO, VIOLIN NO. 4, D MAJOR, K.218",25
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 5, A MAJOR, K.219","Mozart,  Wolfgang  Amadeus_CONCERTO, VIOLIN NO. 5, A MAJOR, K.219",60
"Mozart,  Wolfgang  Amadeus","CONCERTO, VIOLIN NO. 7, D MAJOR, K.271I (OLD K.271A)","Mozart,  Wolfgang  Amadeus_CONCERTO, VIOLIN NO. 7, D MAJOR, K.271I (OLD K.271A)",5
"Mozart,  Wolfgang  Amadeus","COSI FAN TUTTE, K.588","Mozart,  Wolfgang  Amadeus_COSI FAN TUTTE, K.588",20
"Mozart,  Wolfgang  Amadeus","DAVIDDE PENITENTE, K.469","Mozart,  Wolfgang  Amadeus_DAVIDDE PENITENTE, K.469",5
"Mozart,  Wolfgang  Amadeus","DIVERTIMENTO NO.   2, D MAJOR, K.131","Mozart,  Wolfgang  Amadeus_DIVERTIMENTO NO.   2, D MAJOR, K.131",11
"Mozart,  Wolfgang  Amadeus","DIVERTIMENTO NO. 11, D MAJOR, K.251","Mozart,  Wolfgang  Amadeus_DIVERTIMENTO NO. 11, D MAJOR, K.251",6
"Mozart,  Wolfgang  Amadeus","DIVERTIMENTO, D MAJOR, K.125A (OLD K.136)","Mozart,  Wolfgang  Amadeus_DIVERTIMENTO, D MAJOR, K.125A (OLD K.136)",21
"Mozart,  Wolfgang  Amadeus","DON GIOVANNI, K.527","Mozart,  Wolfgang  Amadeus_DON GIOVANNI, K.527",33
"Mozart,  Wolfgang  Amadeus",DON GIOVANNI: OVERTURE K.527 (ARR. Unspecified),"Mozart,  Wolfgang  Amadeus_DON GIOVANNI: OVERTURE K.527 (ARR. Unspecified)",9
"Mozart,  Wolfgang  Amadeus","DON GIOVANNI: OVERTURE, K.527 (ARR. Busoni)","Mozart,  Wolfgang  Amadeus_DON GIOVANNI: OVERTURE, K.527 (ARR. Busoni)",7
"Mozart,  Wolfgang  Amadeus","DON GIOVANNI: OVERTURE, K.527 (ARR. Mozart)","Mozart,  Wolfgang  Amadeus_DON GIOVANNI: OVERTURE, K.527 (ARR. Mozart)",7
"Mozart,  Wolfgang  Amadeus","EXSULTATE JUBILATE, K.158A (OLD K.165)","Mozart,  Wolfgang  Amadeus_EXSULTATE JUBILATE, K.158A (OLD K.165)",46
"Mozart,  Wolfgang  Amadeus","GERMAN DANCES (3), K.605","Mozart,  Wolfgang  Amadeus_GERMAN DANCES (3), K.605",22
"Mozart,  Wolfgang  Amadeus","GERMAN DANCES (6), K.509","Mozart,  Wolfgang  Amadeus_GERMAN DANCES (6), K.509",14
"Mozart,  Wolfgang  Amadeus","IDOMENEO, K.366","Mozart,  Wolfgang  Amadeus_IDOMENEO, K.366",15
"Mozart,  Wolfgang  Amadeus","IDOMENEO, K.366: SUITE (ARR. Busoni)","Mozart,  Wolfgang  Amadeus_IDOMENEO, K.366: SUITE (ARR. Busoni)",7
"Mozart,  Wolfgang  Amadeus","MAGIC FLUTE, THE, K.620","Mozart,  Wolfgang  Amadeus_MAGIC FLUTE, THE, K.620",75
"Mozart,  Wolfgang  Amadeus","MARRIAGE OF FIGARO, THE, K.492","Mozart,  Wolfgang  Amadeus_MARRIAGE OF FIGARO, THE, K.492",182
"Mozart,  Wolfgang  Amadeus","MASONIC FUNERAL MUSIC, K.479A (OLD K.477)","Mozart,  Wolfgang  Amadeus_MASONIC FUNERAL MUSIC, K.479A (OLD K.477)",20
"Mozart,  Wolfgang  Amadeus","MASS, C MINOR, K.417A (OLD K.427), ""GREAT""","Mozart,  Wolfgang  Amadeus_MASS, C MINOR, K.417A (OLD K.427), ""GREAT""",20
"Mozart,  Wolfgang  Amadeus","RE PASTORE, IL, K.208","Mozart,  Wolfgang  Amadeus_RE PASTORE, IL, K.208",19
"Mozart,  Wolfgang  Amadeus","REQUIEM, K.626 (ARR. Sussmayr)","Mozart,  Wolfgang  Amadeus_REQUIEM, K.626 (ARR. Sussmayr)",22
"Mozart,  Wolfgang  Amadeus","RONDO, PIANO, D MAJOR, K.382","Mozart,  Wolfgang  Amadeus_RONDO, PIANO, D MAJOR, K.382",8
"Mozart,  Wolfgang  Amadeus","RONDO, VIOLIN, C MAJOR, K.373","Mozart,  Wolfgang  Amadeus_RONDO, VIOLIN, C MAJOR, K.373",7
"Mozart,  Wolfgang  Amadeus","SCHAUSPIELDIREKTOR (IMPRESARIO), K.486","Mozart,  Wolfgang  Amadeus_SCHAUSPIELDIREKTOR (IMPRESARIO), K.486",21
"Mozart,  Wolfgang  Amadeus","SERENADE NO.  6, D MAJOR, K.239, ""SERENATA NOTTURNA""","Mozart,  Wolfgang  Amadeus_SERENADE NO.  6, D MAJOR, K.239, ""SERENATA NOTTURNA""",17
"Mozart,  Wolfgang  Amadeus","SERENADE NO.  7, D MAJOR, K.248B (OLD K.250), ""HAFFNER""","Mozart,  Wolfgang  Amadeus_SERENADE NO.  7, D MAJOR, K.248B (OLD K.250), ""HAFFNER""",14
"Mozart,  Wolfgang  Amadeus","SERENADE NO.  9, D MAJOR, K.320, ""POSTHORN""","Mozart,  Wolfgang  Amadeus_SERENADE NO.  9, D MAJOR, K.320, ""POSTHORN""",24
"Mozart,  Wolfgang  Amadeus","SERENADE NO. 10, B-FLAT MAJOR, K.370A (OLD K.361), ""GRAN PARTITA""","Mozart,  Wolfgang  Amadeus_SERENADE NO. 10, B-FLAT MAJOR, K.370A (OLD K.361), ""GRAN PARTITA""",28
"Mozart,  Wolfgang  Amadeus","SERENADE NO. 12, C MINOR, K.384A (OLD K.388)","Mozart,  Wolfgang  Amadeus_SERENADE NO. 12, C MINOR, K.384A (OLD K.388)",11
"Mozart,  Wolfgang  Amadeus","SERENADE NO. 13, G MAJOR, K.525, ""EINE KLEINE NACHTMUSIK""","Mozart,  Wolfgang  Amadeus_SERENADE NO. 13, G MAJOR, K.525, ""EINE KLEINE NACHTMUSIK""",52
"Mozart,  Wolfgang  Amadeus","SINFONIA CONCERTANTE, VLN/VLA, E-FLAT MAJOR, K.320D (K.364)","Mozart,  Wolfgang  Amadeus_SINFONIA CONCERTANTE, VLN/VLA, E-FLAT MAJOR, K.320D (K.364)",51
"Mozart,  Wolfgang  Amadeus","SINFONIA CONCERTANTE, WINDS, E-FLAT MAJOR, K.297B [ANH.9]","Mozart,  Wolfgang  Amadeus_SINFONIA CONCERTANTE, WINDS, E-FLAT MAJOR, K.297B [ANH.9]",37
"Mozart,  Wolfgang  Amadeus","SONATA, PIANO NO. 11, A MAJOR, K.331","Mozart,  Wolfgang  Amadeus_SONATA, PIANO NO. 11, A MAJOR, K.331",5
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO.  1, E-FLAT MAJOR, K.16","Mozart,  Wolfgang  Amadeus_SYMPHONY NO.  1, E-FLAT MAJOR, K.16",14
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 23, D MAJOR, K.162B (OLD K.181)","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 23, D MAJOR, K.162B (OLD K.181)",15
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 24, B-FLAT MAJOR, K.173DA (OLD K.182)","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 24, B-FLAT MAJOR, K.173DA (OLD K.182)",9
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 25, G MINOR, K.173DB (OLD K.183)","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 25, G MINOR, K.173DB (OLD K.183)",21
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 28, C MAJOR, K.189K (OLD K.200)","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 28, C MAJOR, K.189K (OLD K.200)",21
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 29, A MAJOR, K.186A (OLD K.201)","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 29, A MAJOR, K.186A (OLD K.201)",46
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 31, D MAJOR, K.300A (OLD K.297), ""PARIS""","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 31, D MAJOR, K.300A (OLD K.297), ""PARIS""",20
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 32 (OVERTURE), G MAJOR, K.318","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 32 (OVERTURE), G MAJOR, K.318",11
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 33, B-FLAT MAJOR, K.319","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 33, B-FLAT MAJOR, K.319",15
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 34, C MAJOR, K.338","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 34, C MAJOR, K.338",44
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 35, D MAJOR, K.385, ""HAFFNER""","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 35, D MAJOR, K.385, ""HAFFNER""",78
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 36, C MAJOR, K.425, ""LINZ""","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 36, C MAJOR, K.425, ""LINZ""",42
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 38, D MAJOR, K.504, ""PRAGUE""","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 38, D MAJOR, K.504, ""PRAGUE""",76
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 39, E-FLAT MAJOR, K.543","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 39, E-FLAT MAJOR, K.543",60
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 40, G MINOR, K.550","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 40, G MINOR, K.550",97
"Mozart,  Wolfgang  Amadeus","SYMPHONY NO. 41, C MAJOR, K.551, ""JUPITER""","Mozart,  Wolfgang  Amadeus_SYMPHONY NO. 41, C MAJOR, K.551, ""JUPITER""",103
"Mozart,  Wolfgang  Amadeus","VORREI SPIEGARVI OH DIO, K.418","Mozart,  Wolfgang  Amadeus_VORREI SPIEGARVI OH DIO, K.418",13
"Mulligan,  Gerry",K-4 PACIFIC,"Mulligan,  Gerry_K-4 PACIFIC",6
"Musorgsky,  Modest",BORIS GODUNOV (ARR. Rimsky-Korsakov),"Musorgsky,  Modest_BORIS GODUNOV (ARR. Rimsky-Korsakov)",9
"Musorgsky,  Modest",DESTRUCTION OF SENNACHERIB,"Musorgsky,  Modest_DESTRUCTION OF SENNACHERIB",5
"Musorgsky,  Modest","FAIR AT SOROCHINTSÏ, THE","Musorgsky,  Modest_FAIR AT SOROCHINTSÏ, THE",11
"Musorgsky,  Modest",KHOVANSHCHINA (ARR. Rimsky-Korsakov),"Musorgsky,  Modest_KHOVANSHCHINA (ARR. Rimsky-Korsakov)",68
"Musorgsky,  Modest",KHOVANSHCHINA (ARR. Shostakovich),"Musorgsky,  Modest_KHOVANSHCHINA (ARR. Shostakovich)",11
"Musorgsky,  Modest",NIGHT ON BALD MOUNTAIN (ARR. Rimsky-Korsakov),"Musorgsky,  Modest_NIGHT ON BALD MOUNTAIN (ARR. Rimsky-Korsakov)",43
"Musorgsky,  Modest",PICTURES AT AN EXHIBITION (ARR. Gorchakov),"Musorgsky,  Modest_PICTURES AT AN EXHIBITION (ARR. Gorchakov)",18
"Musorgsky,  Modest",PICTURES AT AN EXHIBITION (ARR. Ravel),"Musorgsky,  Modest_PICTURES AT AN EXHIBITION (ARR. Ravel)",146
"Musorgsky,  Modest",SONGS AND DANCES OF DEATH (VOICE+ORCH) (ARR. Shostakovich),"Musorgsky,  Modest_SONGS AND DANCES OF DEATH (VOICE+ORCH) (ARR. Shostakovich)",11
"Nicolai,  Otto","MERRY WIVES OF WINDSOR, THE","Nicolai,  Otto_MERRY WIVES OF WINDSOR, THE",15
"Nielsen,  Carl","CONCERTO, CLARINET, OP.57","Nielsen,  Carl_CONCERTO, CLARINET, OP.57",13
"Nielsen,  Carl","CONCERTO, FLUTE","Nielsen,  Carl_CONCERTO, FLUTE",14
"Nielsen,  Carl","CONCERTO, VIOLIN, OP. 33","Nielsen,  Carl_CONCERTO, VIOLIN, OP. 33",10
"Nielsen,  Carl",MASKARADE,"Nielsen,  Carl_MASKARADE",10
"Nielsen,  Carl","SYMPHONY NO. 2, OP.16 (THE FOUR TEMPERAMENTS)","Nielsen,  Carl_SYMPHONY NO. 2, OP.16 (THE FOUR TEMPERAMENTS)",9
"Nielsen,  Carl","SYMPHONY NO. 3, OP. 27 (SINFONIA ESPANSIVA)","Nielsen,  Carl_SYMPHONY NO. 3, OP. 27 (SINFONIA ESPANSIVA)",9
"Nielsen,  Carl","SYMPHONY NO. 4, OP. 29 (INEXTINGUISHABLE)","Nielsen,  Carl_SYMPHONY NO. 4, OP. 29 (INEXTINGUISHABLE)",10
"Nielsen,  Carl","SYMPHONY NO. 5, OP. 50","Nielsen,  Carl_SYMPHONY NO. 5, OP. 50",18
"Noskowski,  Sigismund","STEPPE, THE","Noskowski,  Sigismund_STEPPE, THE",5
